"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-4403.53867704546 0 0 0 0 0 0 0 0 0 0 0 0
-3889.73309731024 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-3423.81860360293 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-3004.37476590898 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-2629.10760763436 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-2295.15512441866 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-1999.33197525321 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-1738.31784729586 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-1508.7967584395 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-1307.5555250923 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-1131.5494735732 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-977.942711563643 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-844.129239091602 1.04490236758554e-05 1.14539818747188e-05 1.21843898536192e-05 1.06135626743353e-05 1.00459034946992e-05 1.00230865931856e-05 1.00428054907758e-05 1.00305826789021e-05 1.00008950451402e-05 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-727.74007896185 1.14287589471202e-05 1.30511145518405e-05 1.40453800912841e-05 1.21250406902404e-05 1.02165016702951e-05 1.01338702668702e-05 1.0271896751182e-05 1.02446729328534e-05 1.00691350941523e-05 1.00173033211191e-05 1.00617682124433e-05 1.00651813572184e-05
-626.640566475474 1.20220920349386e-05 1.29826496852218e-05 1.29900587699381e-05 1.25373444324737e-05 1.07877531052849e-05 1.08114127571708e-05 1.09657639201603e-05 1.05476731241022e-05 1.01895428601812e-05 1.0105950626661e-05 1.04783877069824e-05 1.08442510958776e-05
-538.921018808264 1.07867154224935e-05 1.09705741679559e-05 1.10069802504821e-05 1.10473689528516e-05 1.07898700402229e-05 1.1103312022864e-05 1.06656062092356e-05 1.00700164025906e-05 1.00120908911272e-05 1.00049413832544e-05 1.01574197790186e-05 1.06104955496211e-05
-462.883227987974 1.01478243398277e-05 1.0048202824168e-05 1.00016611638074e-05 1.00157117996337e-05 1.00720966733407e-05 1.0009571071343e-05 1.00000515358325e-05 9.99999974737875e-06 1.00000111314084e-05 1.00004683301866e-05 1.00227285510357e-05 1.00384954094926e-05
-397.024587689073 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-340.021160607178 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-290.710602230984 9.99999974737875e-06 1.00477122534403e-05 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-248.075559402981 9.99999974737875e-06 1.62073967678783e-05 1.61596842618167e-05 0.000252743233654748 0.000237390899949989 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-211.227940157669 9.99999974737875e-06 2.76958316415829e-05 4.49388024245764e-05 0.02035940442146 0.000692503632626222 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-179.394289035162 9.99999974737875e-06 0.00176307964871458 0.0188985422198513 0.0717087322241329 0.0151038511710204 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-151.902385933289 9.99999974737875e-06 0.0208761973647252 0.0817729703563414 0.148792819828444 0.0275474565364897 1.00238560004095e-05 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-128.169105562947 1.12214398839145e-05 0.0670471449452283 0.169970995124542 0.226058765399334 0.0329904286181196 5.62227435593923e-05 1.00048440314614e-05 1.00004932398737e-05 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-107.689519900527 0.000242951186539708 0.131198263818414 0.244412753246793 0.28763395559484 0.0356911864170409 1.21279178708847e-05 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-90.0271907831704 0.00520865870222565 0.203297210756925 0.300491853773233 0.325377645358996 0.0411485542378687 0.000406735552161092 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-74.8055786429825 0.024263635393932 0.263437177026268 0.332226142992552 0.341348476333811 0.0460243242823092 0.000831549138254316 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 2.55005783896096e-05
-61.7004822783979 0.0579662601823589 0.302097072096037 0.340946178505786 0.337986565479334 0.0501830878668311 0.000659196824894296 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 1.01293174784594e-05 0.00445490934707517
-50.4334204812396 0.0927700579897633 0.31727111690289 0.330815361938442 0.319943666392133 0.0518590520204096 0.000516269047115247 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 3.4121521162478e-05 0.0220033539569395
-40.7658670315686 0.118134885135272 0.31163598232371 0.306640940000959 0.291289622515099 0.0521439192029578 0.000369592453987269 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 0.00188504721192515 0.0477716654876114
-32.4942544017577 0.130415387651653 0.289776602006585 0.273032910299831 0.255969117926672 0.0503766326549345 0.000603148177433865 1.00710458964551e-05 9.99999974737875e-06 1.00238560004095e-05 4.63877148311848e-05 0.0103499243672797 0.0708235017338859
-25.4456672997985 0.13020475053105 0.256657932727037 0.233992659863735 0.217261319436269 0.0468181174215711 0.00132347139237737 0.000217142609792121 9.99999974737875e-06 1.00267915875627e-05 0.00228404895831699 0.0226433742117168 0.0845450002615025
-19.4741540998978 0.119997214349224 0.216838912960223 0.191777642134836 0.170547282770826 0.041167683054004 0.00216310677723168 0.00103248408946479 1.76641036098134e-05 0.000275538419107454 0.00748517596587471 0.0320599909993219 0.087522569484764
-14.4575916844688 0.102904651035636 0.168432858652067 0.136863719492101 0.121127942382094 0.0339128784654031 0.00322530024011297 0.00218943385057605 0.000617379014756505 0.00157105927435218 0.011927886759319 0.0358085362991588 0.0812927049249242
-10.2950468745342 0.0817065032785213 0.117049155532283 0.0938544337274077 0.0864017708244048 0.0270582805408642 0.00413638025739374 0.00345270114725177 0.00199838274389165 0.00327486085425695 0.0137651169985952 0.0340050257172484 0.0685570687445784
-6.90458521322792 0.0547654643417605 0.0782891797731749 0.0677761237530395 0.0653619961497042 0.0209464585537675 0.00464683986096819 0.00443200873973702 0.00307256847739723 0.00427916222944585 0.0128868259887095 0.0281059524878574 0.0520698736320172
-4.22148524807075 0.0322259285157907 0.0559651109111392 0.0521147580759965 0.0524269569023063 0.0164279451396951 0.00449992793246272 0.00462106204274076 0.00332543117100786 0.00421161059414719 0.0100378271917044 0.0198031813592919 0.0307727571514159
-2.19682356262045 0.0207989225374212 0.0430411507271173 0.0420203448143944 0.0440544564928389 0.0137562251494995 0.00366820015646292 0.0037631586569962 0.00269472176310272 0.00317917814209732 0.00580426043047897 0.0101235621967975 0.0173188441991587
-0.796402618299918 0.01463919407141 0.0346647523089183 0.0349619906925324 0.0383867135249293 0.0126530089272126 0.00291684935555816 0.00237722285613494 0.00149591479863535 0.0017463897723218 0.00310847481761628 0.00604379491379684 0.0115476529750691
0 0.011559330253713 0.0304765529593811 0.0314328118733636 0.0355528454601292 0.0121014008478955 0.00254117386929609 0.00168425495780857 0.000896511367936231 0.00102999557362626 0.00176058211034082 0.00400391129721725 0.00866205691892141
