"DOY" "Depth" "DIP"
86 150.8 0.11
86 201.4 0.16
86 252.9 0.16
86 303.2 0.2
86 401.9 0.26
88 250.8 0.11
89 100.6 0.03
89 251.6 0.12
89 301.1 0.15
89 401.4 0.23
89 3.3 0.04
89 250.7 0.06
89 300.6 0.14
89 400.4 0.2
89 499.2 0.35
90 2.5 0.05
90 10.9 0.07
90 25.3 0.05
90 49.6 0.06
90 75.1 0.17
90 99.5 0.07
90 150.5 0.07
90 201.9 0.06
90 249.6 0.06
90 302.1 0.06
90 401.5 0.21
206 301 0.13
206 400.6 0.21
207 151.5 0.04
207 201.1 0.11
207 250.9 0.18
207 301.1 0.19
207 401.4 0.32
207 12 0.04
207 201.3 0.13
207 250.4 0.15
207 301.4 0.21
207 400.8 0.35
208 151.2 0.04
208 201.6 0.06
208 249.8 0.09
208 300.9 0.09
208 401.1 0.13
208 151 0.05
208 201.9 0.1
208 251.4 0.13
208 300.1 0.19
208 401 0.3
209 150.6 0.11
209 200.9 0.13
209 251.3 0.15
209 300 0.16
209 400.2 0.31
209 100.1 0.08
209 150.3 0.1
209 200.5 0.11
209 251.1 0.1
209 301.6 0.11
209 400.9 0.21
297 76.6 0.04
297 101.5 0.04
297 150.5 0.04
297 201.2 0.08
297 250.5 0.14
297 301.1 0.1
297 401.3 0.36
297 150.2 0.08
297 200.6 0.1
297 249.4 0.13
297 301.4 0.12
297 400.9 0.36
297 499.9 0.57
297 101 0.05
297 148.4 0.06
297 202.2 0.09
297 250.2 0.1
297 302.7 0.1
297 402.2 0.21
298 101 0.03
298 150.1 0.07
298 201 0.1
298 251.3 0.12
298 302.2 0.11
298 401 0.15
298 11.5 0.04
298 102.4 0.03
298 149.7 0.1
298 200.5 0.12
298 250.7 0.14
298 301.1 0.16
298 401.6 0.31
299 150.8 0.08
299 201 0.12
299 250.8 0.14
299 300.2 0.18
299 399.2 0.26
299 202 0.07
299 250.1 0.11
299 300.3 0.1
299 399.6 0.25
300 251.3 0.12
300 301.2 0.12
300 400.3 0.25
176 120.6 0.09
176 160.7 0.16
176 201.8 0.16
176 298.8 0.19
176 498.6 0.74
176 121.8 0.04
176 141.8 0.1
176 201.2 0.16
176 304.7 0.19
176 497.8 0.75
176 121.1 0.06
176 139.9 0.08
176 200.5 0.14
176 300 0.27
176 199.6 0.1
176 300.1 0.17
176 499.8 0.58
177 139.5 0.04
177 199.1 0.14
177 299.6 0.14
177 497.3 0.6
177 202.4 0.11
177 301.7 0.19
177 201.2 0.12
177 300.9 0.18
177 499.7 0.46
177 140.9 0.04
177 201 0.12
177 300.4 0.17
177 4.8 0.05
177 120.2 0.06
177 141 0.09
177 200.4 0.1
177 300.6 0.13
177 499.7 0.45
177 100.8 0.05
177 120.8 0.07
177 141.1 0.1
177 201.1 0.14
177 299.7 0.14
178 121.4 0.04
178 142.4 0.07
178 201.7 0.08
178 300.3 0.14
178 499.4 0.44
178 199.8 0.08
178 300.2 0.13
178 80.5 0.06
178 139.2 0.07
178 200 0.13
178 300.2 0.15
178 499.7 0.51
178 120.8 0.06
178 140.4 0.1
178 200.7 0.13
178 300.3 0.16
178 119.5 0.04
178 140.4 0.09
178 200.9 0.13
178 299.1 0.2
178 499.6 0.48
178 200.9 0.09
178 299.9 0.13
179 120.8 0.1
179 141.3 0.12
179 201 0.1
179 301.7 0.12
179 118.8 0.07
179 139.5 0.14
179 201.1 0.16
179 301.8 0.16
179 500 0.34
179 100.6 0.09
179 120.4 0.11
179 140.2 0.13
179 200.9 0.13
179 301 0.15
179 101.8 0.05
179 120.3 0.09
179 141.2 0.11
179 201.3 0.12
179 299.7 0.15
179 118.7 0.05
179 140.9 0.08
179 200.2 0.13
179 301.5 0.15
179 497.9 0.22
180 120.4 0.06
180 140 0.09
180 201.3 0.15
180 301.7 0.15
180 121.4 0.08
180 140.5 0.32
180 200.9 0.27
180 299.7 0.21
180 5.9 0.23
180 81.7 0.2
180 100.7 0.16
180 120.2 0.3
180 141.3 0.33
180 200.4 0.27
180 300.6 0.3
180 5.5 0.1
180 40.5 0.05
180 59.9 0.06
180 80.9 0.05
180 100.4 0.06
180 120.2 0.15
180 140.2 0.17
180 201 0.18
180 300.4 0.2
180 400 0.46
188 100.1 0.05
188 119.9 0.1
188 139.8 0.11
188 199.8 0.15
188 300.3 0.17
188 400.1 0.31
188 99.4 0.1
188 118.4 0.12
188 138.8 0.14
188 199.9 0.18
188 302 0.21
188 399.8 0.55
188 499.8 0.77
188 79.6 0.06
188 100.2 0.14
188 119.6 0.15
188 199.7 0.21
188 300.4 0.22
188 400.6 0.65
188 499.8 0.84
188 140.4 0.16
189 99.2 0.06
189 121.9 0.09
189 141.4 0.11
189 200.9 0.14
189 301.6 0.19
189 401 0.36
189 119.1 0.05
189 140.5 0.07
189 201.1 0.13
189 301.1 0.15
189 401.3 0.22
189 100.5 0.04
189 118.3 0.07
189 139.6 0.07
189 200.3 0.1
189 299.2 0.12
189 399.3 0.17
189 99.6 0.04
189 120.1 0.08
189 139.7 0.09
189 201.3 0.1
189 300.3 0.13
189 399.7 0.19
189 80.9 0.04
189 100.3 0.04
189 120.6 0.06
189 140 0.08
189 200.7 0.14
189 300.4 0.15
189 400.9 0.27
189 100 0.13
189 119.4 0.15
189 140.3 0.12
189 200.2 0.19
189 300 0.4
189 399.8 0.69
189 79.8 0.17
189 100.7 0.18
189 120.2 0.18
189 139.7 0.18
189 200.6 0.26
189 299.7 0.59
189 401.2 0.82
190 2.5 0.04
190 20.4 0.04
190 80.5 0.06
190 100.8 0.15
190 120.2 0.18
190 142 0.18
190 201.5 0.2
190 301.7 0.48
190 400.5 0.68
190 78.7 0.08
190 101.1 0.11
190 121.2 0.14
190 140.6 0.12
190 199.7 0.15
190 300.4 0.18
190 400.1 0.35
190 80.5 0.05
190 99.8 0.09
190 120.4 0.11
190 140.3 0.11
190 200 0.14
190 301.7 0.16
190 400.1 0.22
190 100.5 0.13
190 120.6 0.15
190 140.5 0.16
190 201.4 0.19
190 300.8 0.32
190 398.6 0.62
190 499.6 0.85
190 79.7 0.17
190 99.9 0.21
190 120.3 0.21
190 139.9 0.2
190 200.9 0.25
190 300.7 0.55
190 400.9 0.8
190 500 1.07
190 99.9 0.15
190 120.3 0.19
190 139.6 0.19
190 199.6 0.18
190 299.3 0.33
190 398.7 0.63
190 499.8 0.88
191 100 0.1
191 119.8 0.1
191 140 0.1
191 200.5 0.13
191 300.2 0.15
191 401.2 0.27
191 120.7 0.04
191 140.3 0.07
191 201.2 0.09
191 300.4 0.14
191 401.3 0.18
191 100.5 0.09
191 119.6 0.08
191 139.9 0.1
191 200.5 0.12
191 300.2 0.14
191 400.1 0.19
191 499.9 0.31
191 100.3 0.08
