time,lat,lon,depth,time_out,Lat_out,Long_out,pres,temp,salt,lt1,lt2,lt3,dark,t0,pp,Cruise_ID,niskin_flag,UNOLS
1988-12-18T00:00:00.000Z,31.669,-64.049,5,1988-12-18T00:00,,,,,,7.21,6.59,,0.75,1.26,6.15,1000308101,2,nan
1988-12-18T00:00:00.000Z,31.669,-64.049,25,1988-12-18T00:00,,,,,,6,,,,1.97,,1000308102,2,nan
1988-12-18T00:00:00.000Z,31.669,-64.049,50,1988-12-18T00:00,,,,,,3.62,2.69,3.19,1.02,1.57,2.15,1000308103,2,nan
1988-12-18T00:00:00.000Z,31.669,-64.049,75,1988-12-18T00:00,,,,,,2.21,1.4,1.55,1.43,1.47,0.29,1000308104,2,nan
1988-12-18T00:00:00.000Z,31.669,-64.049,100,1988-12-18T00:00,,,,,,1.15,1.78,8.48,0.95,1.46,2.85,1000308105,2,nan
1988-12-18T00:00:00.000Z,31.669,-64.049,120,1988-12-18T00:00,,,,,,1.29,0.75,1.47,1.01,2.08,0.16,1000308106,2,nan
1989-01-27T00:00:00.000Z,31.695,-64.252,18,1989-01-27T00:00,,,,,,3.77,3.75,4.36,0.18,0.19,3.78,1000408101,2,nan
1989-01-27T00:00:00.000Z,31.695,-64.252,41,1989-01-27T00:00,,,,,,3.66,3.55,3.92,0.21,0.21,3.5,1000408102,2,nan
1989-01-27T00:00:00.000Z,31.695,-64.252,62,1989-01-27T00:00,,,,,,2.17,2.33,2.05,0.16,0.09,2.02,1000408103,2,nan
1989-01-27T00:00:00.000Z,31.695,-64.252,81,1989-01-27T00:00,,,,,,0.93,0.92,1.02,0.19,0.09,0.77,1000408104,2,nan
1989-01-27T00:00:00.000Z,31.695,-64.252,102,1989-01-27T00:00,,,,,,0.79,0.64,0.67,0.21,0.1,0.49,1000408105,2,nan
1989-02-19T00:00:00.000Z,31.65,-64.522,2,1989-02-19T00:00,,,,,,,29.67,27.81,0.44,0.18,28.3,1000508101,2,nan
1989-02-19T00:00:00.000Z,31.65,-64.522,20,1989-02-19T00:00,,,,,,6.39,7.05,12.02,0.38,0.22,8.11,1000508102,2,nan
1989-02-19T00:00:00.000Z,31.65,-64.522,30,1989-02-19T00:00,,,,,,24.23,25.33,25.31,0.39,0.24,24.57,1000508103,2,nan
1989-02-19T00:00:00.000Z,31.65,-64.522,47,1989-02-19T00:00,,,,,,,2.06,2.21,0.29,0.21,1.84,1000508104,2,nan
1989-02-19T00:00:00.000Z,31.65,-64.522,75,1989-02-19T00:00,,,,,,0.83,0.86,0.91,,0.24,,1000508105,2,nan
1989-02-19T00:00:00.000Z,31.65,-64.522,100,1989-02-19T00:00,,,,,,0.36,0.38,0.32,0.23,0.22,0.12,1000508106,2,nan
1989-03-26T00:00:00.000Z,31.135,-64.751,4,1989-03-26T00:00,,,,,,4.11,4.47,4.56,0.36,0.3,4.02,1000608101,2,nan
1989-03-26T00:00:00.000Z,31.135,-64.751,15,1989-03-26T00:00,,,,,,3.17,3.02,3.42,0.35,0.32,2.85,1000608102,2,nan
1989-03-26T00:00:00.000Z,31.135,-64.751,25,1989-03-26T00:00,,,,,,4.17,4.28,4.34,0.46,0.29,3.8,1000608103,2,nan
1989-03-26T00:00:00.000Z,31.135,-64.751,35,1989-03-26T00:00,,,,,,4.38,3.56,3.87,0.4,0.37,3.54,1000608104,2,nan
1989-03-26T00:00:00.000Z,31.135,-64.751,53,1989-03-26T00:00,,,,,,3.42,3.15,3.51,0.4,0.33,2.96,1000608105,2,nan
1989-03-26T00:00:00.000Z,31.135,-64.751,70,1989-03-26T00:00,,,,,,0.86,0.86,0.8,0.44,0.35,0.4,1000608106,2,nan
1989-04-17T00:00:00.000Z,31.587,-64.213,5,1989-04-17T00:00,,,,,,4.08,3.91,3.89,0.39,0.24,3.57,1000708101,2,nan
1989-04-17T00:00:00.000Z,31.587,-64.213,17,1989-04-17T00:00,,,,,,4.07,3.88,3.76,0.4,0.22,3.5,1000708102,2,nan
1989-04-17T00:00:00.000Z,31.587,-64.213,32,1989-04-17T00:00,,,,,,2.69,2.85,3.09,0.39,0.34,2.49,1000708103,2,nan
1989-04-17T00:00:00.000Z,31.587,-64.213,50,1989-04-17T00:00,,,,,,2.75,3.04,3.04,0.49,0.35,2.45,1000708104,2,nan
1989-04-17T00:00:00.000Z,31.587,-64.213,64,1989-04-17T00:00,,,,,,2.43,2.58,2.49,0.36,0.23,2.14,1000708105,2,nan
1989-04-17T00:00:00.000Z,31.587,-64.213,75,1989-04-17T00:00,,,,,,3.57,3.6,3.43,0.37,0.28,3.16,1000708106,2,nan
1989-05-16T00:00:00.000Z,31.963,-64.033,3,1989-05-16T00:00,,,,,,,2.46,4.13,0.88,0.47,2.42,1000808101,2,nan
1989-05-16T00:00:00.000Z,31.963,-64.033,14,1989-05-16T00:00,,,,,,3.63,4.54,4.01,2.34,0.8,1.72,1000808102,2,nan
1989-05-16T00:00:00.000Z,31.963,-64.033,25,1989-05-16T00:00,,,,,,1.6,1.4,1.73,0.72,0.42,0.86,1000808103,2,nan
1989-05-16T00:00:00.000Z,31.963,-64.033,39,1989-05-16T00:00,,,,,,3.04,4.07,2.86,1.15,0.26,2.17,1000808104,2,nan
1989-05-16T00:00:00.000Z,31.963,-64.033,67,1989-05-16T00:00,,,,,,2.68,2.69,,0.86,1.17,1.83,1000808105,2,nan
1989-05-16T00:00:00.000Z,31.963,-64.033,97,1989-05-16T00:00,,,,,,0.81,1.32,1,0.37,0.42,0.67,1000808106,2,nan
1989-06-22T00:00:00.000Z,31.797,-64.084,3,1989-06-22T00:00,,,,,,3.37,4.82,4.48,,0.29,,1000908101,2,nan
1989-06-22T00:00:00.000Z,31.797,-64.084,16,1989-06-22T00:00,,,,,,4.24,5.04,5.22,0.45,0.26,4.38,1000908102,2,nan
1989-06-22T00:00:00.000Z,31.797,-64.084,24,1989-06-22T00:00,,,,,,5.18,4.17,4.78,0.44,0.25,4.27,1000908103,2,nan
1989-06-22T00:00:00.000Z,31.797,-64.084,39,1989-06-22T00:00,,,,,,3.39,2.21,1.8,0.61,0.29,1.86,1000908104,2,nan
1989-06-22T00:00:00.000Z,31.797,-64.084,53,1989-06-22T00:00,,,,,,5.1,4.54,5.27,,0.28,,1000908105,2,nan
1989-06-22T00:00:00.000Z,31.797,-64.084,66,1989-06-22T00:00,,,,,,4.22,4.27,4.34,0.36,0.37,3.92,1000908106,2,nan
1989-07-20T00:00:00.000Z,31.9,-64.225,1,1989-07-20T00:00,,,,,,4.32,4.76,4.51,0.47,0.3,4.06,1001008101,2,nan
1989-07-20T00:00:00.000Z,31.9,-64.225,20,1989-07-20T00:00,,,,,,4.97,4.58,4.77,0.47,0.3,4.3,1001008102,2,nan
1989-07-20T00:00:00.000Z,31.9,-64.225,40,1989-07-20T00:00,,,,,,3.73,4.6,4.33,0.46,0.3,3.76,1001008103,2,nan
1989-07-20T00:00:00.000Z,31.9,-64.225,60,1989-07-20T00:00,,,,,,4.32,4.01,4.07,0.38,0.22,3.75,1001008104,2,nan
1989-07-20T00:00:00.000Z,31.9,-64.225,80,1989-07-20T00:00,,,,,,4,4,,0.39,0.19,3.61,1001008105,2,nan
1989-07-20T00:00:00.000Z,31.9,-64.225,100,1989-07-20T00:00,,,,,,,3.68,,0.33,,3.35,1001008106,2,nan
1989-08-16T00:00:00.000Z,31.5,-64.1,1,1989-08-16T00:00,,,,,,2.58,3.54,3.18,0.35,0.21,2.75,1001108101,2,nan
1989-08-16T00:00:00.000Z,31.5,-64.1,20,1989-08-16T00:00,,,,,,6.1,5.63,5.1,0.22,,5.39,1001108102,2,nan
1989-08-16T00:00:00.000Z,31.5,-64.1,40,1989-08-16T00:00,,,,,,,3.15,,0.32,0.23,2.83,1001108103,2,nan
1989-08-16T00:00:00.000Z,31.5,-64.1,60,1989-08-16T00:00,,,,,,,2.97,2.57,0.36,,2.41,1001108104,2,nan
1989-08-16T00:00:00.000Z,31.5,-64.1,80,1989-08-16T00:00,,,,,,1.17,1.12,1.28,0.32,0.21,0.87,1001108105,2,nan
1989-08-16T00:00:00.000Z,31.5,-64.1,100,1989-08-16T00:00,,,,,,,0.63,0.73,0.3,,0.38,1001108106,2,nan
1989-08-16T00:00:00.000Z,31.5,-64.1,120,1989-08-16T00:00,,,,,,1.43,1.15,1.02,0.31,0.17,0.89,1001108107,2,nan
1989-08-16T00:00:00.000Z,31.5,-64.1,140,1989-08-16T00:00,,,,,,0.42,0.43,0.38,0.2,,0.21,1001108108,2,nan
1989-10-20T00:00:00.000Z,31.883,-64.18,1,1989-10-20T00:00,,,,,,5.47,4.97,5.06,0.71,0.4,4.46,1001308101,2,nan
1989-10-20T00:00:00.000Z,31.883,-64.18,20,1989-10-20T00:00,,,,,,4.88,4.79,4.51,0.64,0.29,4.09,1001308102,2,nan
1989-10-20T00:00:00.000Z,31.883,-64.18,40,1989-10-20T00:00,,,,,,2.55,2.57,3.1,1.62,0.33,1.12,1001308103,2,nan
1989-10-20T00:00:00.000Z,31.883,-64.18,60,1989-10-20T00:00,,,,,,2.11,2.93,2.6,0.71,0.45,1.84,1001308104,2,nan
