"DOY" "Depth" "TIN"
86 4.3 0.13
86 11.2 0.13
86 25.9 0.1
86 50.1 0.1
86 73.8 0.07
86 100.2 0.31
86 150.8 2.65
86 201.4 3.18
86 252.9 3.6
86 303.2 4.17
86 401.9 5.31
88 3.5 0.41
88 12.2 0.44
88 22 0.44
88 39.8 0.44
88 61 0.44
88 80.5 0.44
88 99.1 0.44
88 121.2 0.44
88 140.5 0.44
88 158.9 0.44
88 197.9 0.61
88 250.8 2.6
89 2.9 0.34
89 12.8 0.34
89 25.6 0.29
89 51 0.37
89 75.9 0.42
89 100.6 0.48
89 152.9 0.46
89 199.6 0.53
89 251.6 2.91
89 301.1 3.17
89 401.4 4.68
89 3.3 0.41
89 11.1 0.41
89 24.6 0.41
89 50.8 0.44
89 75.9 0.45
89 100 0.48
89 150.2 0.48
89 200.2 0.51
89 250.7 1.55
89 300.6 3.12
89 400.4 4.17
89 499.2 6.46
90 2.5 1.15
90 10.9 1.18
90 25.3 1.18
90 49.6 1.13
90 75.1 1.18
90 99.5 1.19
90 150.5 1.29
90 201.9 1.23
90 249.6 1.21
90 302.1 1.35
90 401.5 4.41
206 150.8 0.13
206 201 0.64
206 250.3 1.47
206 301 3.18
206 400.6 4.38
207 151.5 1.2
207 201.1 2.67
207 250.9 3.56
207 301.1 4.14
207 401.4 5.88
207 150.1 0.94
207 201.3 3.07
207 250.4 3.22
207 301.4 4.16
207 400.8 5.51
208 151.2 1.2
208 201.6 1.66
208 249.8 1.92
208 300.9 1.91
208 401.1 2.56
208 100.2 0.27
208 151 1.67
208 201.9 2.21
208 251.4 2.99
208 300.1 3.25
208 401 6.16
209 100.2 0.07
209 150.6 2.48
209 200.9 2.78
209 251.3 2.96
209 300 3.72
209 400.2 5.72
209 76.1 0.21
209 100.1 1.72
209 150.3 2.09
209 200.5 1.98
209 251.1 1.92
209 301.6 2.45
209 400.9 4.25
297 76.6 1.2
297 101.5 1.44
297 150.5 1.79
297 201.2 2.2
297 250.5 2.89
297 301.1 2.35
297 401.3 6.36
297 100.2 0.08
297 150.2 2.14
297 200.6 2.43
297 249.4 2.72
297 301.4 2.52
297 400.9 5.87
297 499.9 8.75
297 101 1.33
297 148.4 1.61
297 202.2 2.2
297 250.2 2.22
297 302.7 2.36
297 402.2 4.07
298 75.4 0.76
298 101 0.86
298 150.1 1.67
298 201 2.37
298 251.3 2.46
298 302.2 2.31
298 401 2.86
298 102.4 0.91
298 149.7 2.27
298 200.5 2.51
298 250.7 2.78
298 301.1 3.21
298 401.6 5.39
299 101.9 0.73
299 150.8 2.06
299 201 2.39
299 250.8 2.62
299 300.2 3.37
299 399.2 4.52
299 150.3 1.21
299 202 1.92
299 250.1 2.25
299 300.3 2.34
299 399.6 4.64
300 150.9 0.51
300 202.7 1.39
300 251.3 1.84
300 301.2 2.44
300 400.3 4.64
176 100.2 0.85
176 120.6 1.93
176 160.7 2.8
176 201.8 2.84
176 298.8 3.02
176 498.6 9.46
176 100.8 0.08
176 121.8 1.02
176 141.8 1.99
176 201.2 2.67
176 304.7 3.06
176 497.8 9.72
176 100.4 1.14
176 121.1 1.58
176 139.9 1.86
176 200.5 2.7
176 300 4.29
176 119.7 0.24
176 140.4 1.02
176 199.6 2.22
176 300.1 2.91
176 499.8 7.83
177 118.6 0.72
177 139.5 1.01
177 199.1 2.34
177 299.6 2.28
177 497.3 7.08
177 141.8 0.17
177 202.4 2.23
177 301.7 2.94
177 140.2 0.72
177 201.2 3.2
177 300.9 3.95
177 499.7 8
177 121.5 0.54
177 140.9 1.38
177 201 2.82
177 300.4 3.61
177 80.3 0.43
177 100.4 0.98
177 120.2 2.12
177 141 2.59
177 200.4 2.5
177 300.6 2.71
177 499.7 7.84
177 100.8 0.14
177 120.8 1.84
177 141.1 2.38
177 201.1 2.97
177 299.7 2.82
178 99.5 0.19
178 121.4 1.13
178 142.4 1.82
178 201.7 1.93
178 300.3 2.94
178 499.4 7.48
178 100.8 0.24
178 119.7 0.73
178 140.1 1.11
178 199.8 2.16
178 300.2 2.85
178 100.8 0.25
178 120.6 1.15
178 139.2 1.96
178 200 2.81
178 300.2 3.2
178 499.7 8.46
178 100.5 0.14
178 120.8 1.82
178 140.4 2.44
178 200.7 2.77
178 300.3 3.34
178 99.7 0.14
178 119.5 1.48
178 140.4 2.33
178 200.9 2.93
178 299.1 3.99
178 499.6 8.15
178 139.3 0.41
178 200.9 2.34
178 299.9 3
179 101 0.72
179 120.8 2.05
179 141.3 2.39
179 201 2.44
179 301.7 2.97
179 100.5 0.78
179 118.8 2.03
179 139.5 2.45
179 201.1 2.39
179 301.8 3.02
179 500 5.49
179 79.7 0.74
179 100.6 2.08
179 120.4 2.23
179 140.2 2.34
179 200.9 2.29
179 301 2.74
179 80.9 0.13
179 101.8 1.56
179 120.3 2.03
179 141.2 2.23
179 201.3 2.5
179 299.7 2.85
179 101.2 0.61
179 118.7 1.45
179 140.9 1.85
179 200.2 2.24
179 301.5 2.5
179 497.9 3.84
180 100.6 0.35
180 120.4 1.69
180 140 1.97
180 201.3 2.63
180 301.7 2.63
180 5.5 0.08
180 121.4 1.82
180 140.5 2.88
180 200.9 2.63
180 299.7 3.28
180 5.9 0.09
180 81.7 0.07
180 100.7 1.79
180 120.2 2.23
180 141.3 2.72
180 200.4 3.17
180 300.6 2.59
180 100.4 1.34
180 120.2 2.54
180 140.2 2.75
180 201 2.89
180 300.4 3.42
180 400 7.15
188 79.8 0.11
188 100.1 1.43
188 119.9 2.42
188 139.8 2.61
188 199.8 3.34
188 300.3 3.56
188 400.1 5.99
188 79.1 0.84
188 99.4 2.55
188 118.4 2.87
188 138.8 3.27
188 199.9 3.87
188 302 4.43
188 399.8 9.66
188 499.8 13.62
188 79.6 1.99
188 100.2 3.28
188 119.6 3.37
188 199.7 4.35
188 300.4 4.55
188 400.6 11.3
188 499.8 14.49
188 140.4 3.47
189 80.5 1.03
189 99.2 2.03
189 121.9 2.35
189 141.4 2.67
189 200.9 3.16
189 301.6 4.06
189 401 7.18
189 79.8 0.45
189 100.1 0.61
189 119.1 1.52
189 140.5 2.1
189 201.1 3.03
189 301.1 3.44
189 401.3 4.82
189 100.5 1.43
189 118.3 1.97
189 139.6 2.07
189 200.3 2.45
189 299.2 2.9
189 399.3 3.76
189 80 0.43
189 99.6 1.33
189 120.1 2.18
189 139.7 2.32
189 201.3 2.49
189 300.3 2.96
189 399.7 4.07
189 80.9 1.4
189 100.3 1.51
189 120.6 1.83
189 140 2.09
189 200.7 3.16
189 300.4 3.29
189 400.9 5.63
189 79 0.36
189 100 3.03
189 119.4 3.36
189 140.3 3.03
189 200.2 3.87
189 300 7.43
189 399.8 11.49
189 60.3 0.61
189 79.8 3.67
189 100.7 3.67
189 120.2 3.76
189 139.7 3.1
189 200.6 5.12
189 299.7 10.2
189 401.2 12.99
190 80.5 1.88
190 100.8 3.04
190 120.2 3.67
190 142 3.5
190 201.5 3.9
190 301.7 8.74
190 400.5 11.99
190 78.7 1.8
190 101.1 2.64
190 121.2 3.24
190 140.6 2.57
190 199.7 3.31
190 300.4 3.73
190 400.1 6.85
190 80.5 1.27
190 99.8 2.27
190 120.4 2.37
190 140.3 2.53
190 200 2.91
190 301.7 3.25
190 400.1 4.45
190 79.5 0.71
190 100.5 3.03
190 120.6 3.37
190 140.5 3.55
190 201.4 3.72
190 300.8 6.07
190 398.6 10.74
190 499.6 14.56
190 79.7 3.46
190 99.9 4.02
190 120.3 4.18
190 139.9 3.76
190 200.9 4.73
190 300.7 9.62
190 400.9 13.17
190 500 17.21
190 80.1 0.57
190 99.9 3.32
190 120.3 3.59
190 139.6 3.81
190 199.6 3.66
190 299.3 6.37
190 398.7 10.81
190 499.8 14.79
191 79.6 0.58
191 100 2.42
191 119.8 2.56
191 140 2.65
191 200.5 3.11
191 300.2 3.28
191 401.2 5.57
191 101.1 0.56
191 120.7 1.25
191 140.3 2.1
191 201.2 2.5
191 300.4 3.35
191 401.3 4.07
191 100.5 2.18
191 119.6 2.1
191 139.9 2.29
191 200.5 2.7
191 300.2 3.17
191 400.1 3.81
191 499.9 6.38
191 80.4 0.37
191 100.3 2.22
191 120.2 2.73
191 140.4 2.43
191 200.2 2.85
191 299.7 3.34
191 400 6.22
191 499.9 9.04
191 80.5 0.39
191 100.5 1.8
191 120.4 2.56
191 140.2 2.82
191 201.4 3.14
191 300.6 4.06
191 401.2 6.11
191 499.7 10.76
191 80.5 1.26
191 99.6 2.51
191 119.8 2.82
191 140.4 2.98
191 200.3 3.45
191 300.4 4.57
191 399.8 7.99
191 499.9 12.02
191 79.9 0.63
191 100.3 1.97
191 119.8 2.16
191 140.3 3.28
191 201 3.32
191 301.8 3.47
191 400.2 6.36
191 499.4 10.58
192 80 0.79
192 100.3 2.08
192 120.5 2.12
192 140.5 2.34
192 199.9 2.48
192 300.6 3.18
192 400.4 3.61
192 100.5 1.43
192 120 1.89
192 140 2.04
192 200 2.89
192 299.6 2.74
192 400.2 3.63
192 101.2 0.81
192 119.5 1.71
192 140.4 2.14
192 199.7 2.54
192 301.3 2.95
192 400.6 3.6
192 80.8 0.53
192 99.9 1.85
192 120.8 2.26
192 140.1 2.44
192 200 2.7
192 299.7 3.13
192 400.7 3.69
192 499.1 7.36
192 80.1 0.64
192 99.7 2.03
192 120.2 2.36
192 139.5 2.27
192 200.2 2.56
192 300.8 2.82
192 400.5 3.78
192 79.3 0.53
192 101.1 3.56
192 120.7 3.83
192 139.9 3.71
192 200.2 6.89
192 300 10.84
192 400.2 14.11
193 80.2 1.04
