Date,Depth,Temp,Sal,NO3,PO4
19881020,2000.5,3.817,34.993,-999,-999
19881020,2200.3,3.577,34.982,-999,-999
19881020,2398.9,3.317,-999,-999,-999
19881020,2600,3.127,34.957,-999,-999
19881020,2801.7,2.927,34.944,-999,-999
19881020,3000.9,2.737,34.943,-999,-999
19881020,3200.6,2.557,34.927,-999,-999
19881020,3400.3,2.407,-999,-999,-999
19881020,3600.4,2.327,34.917,-999,-999
19881020,3803.5,2.277,34.901,-999,-999
19881020,4001.5,2.247,34.893,-999,-999
19881020,4202.4,2.237,34.888,-999,-999
19881021,1,-999,36.389,0,0
19881021,10,-999,36.39,0,0
19881021,25,-999,36.454,0,0
19881021,50,-999,36.499,0,0
19881021,100,-999,36.67,2.2,0.04
19881021,150,-999,36.569,1.31,0
19881021,200,-999,36.548,2.55,0.05
19881021,225,-999,36.552,2.74,0
19881021,250,-999,36.544,2.51,0.06
19881021,300,-999,36.512,3.92,0.07
19881021,400,-999,36.445,5.23,0.19
19881021,500,-999,36.303,-999,-999
19881123,3.9,24.087,36.455,0,0
19881123,10.9,24.106,36.481,0,0.04
19881123,25.8,24.105,36.449,0.09,0
19881123,51.8,24.056,36.466,0.07,0.04
19881123,99.7,20.837,36.692,0.11,0
19881123,153.4,19.092,36.584,0.38,0.07
19881123,200.1,18.624,36.553,2.52,0.11
19881123,250.1,18.42,36.577,2.72,0.14
19881123,1196.3,5.343,35.072,18.38,-999
19881123,1400.4,4.634,35.029,18.19,-999
19881123,1604.7,4.318,35.016,-999,-999
19881123,1802.4,4.064,-999,18.7,-999
19881123,300.9,18.054,36.497,3.99,0.17
19881123,300.9,18.054,36.495,-999,-999
19881123,400.1,17.556,36.558,5.93,0.32
19881123,501.3,16.414,36.237,8.86,0.43
19881123,501.3,16.414,36.235,-999,-999
19881123,600.1,14.802,35.978,11.4,0.6
19881123,750.5,11.575,35.511,-999,1.14
19881123,750.5,11.575,35.515,-999,-999
19881123,801.2,10.456,35.374,20.91,1.25
19881123,903.6,8.403,35.176,-999,1.45
19881123,1000,6.919,35.103,-999,1.39
19881123,1000,6.919,35.102,-999,-999
19881124,3.8,24.106,-999,-999,-999
19881124,11.1,24.096,-999,-999,-999
19881124,26.3,24.109,-999,-999,-999
19881124,50.7,24.111,-999,-999,-999
19881124,76.4,21.818,36.72,0.7,0.04
19881124,100.9,20.526,-999,-999,-999
19881124,124.7,19.82,-999,1.03,0.11
19881124,150,19.205,-999,-999,-999
19881124,175,18.802,36.564,2.47,0.09
19881124,199,18.611,-999,-999,-999
19881124,224.2,18.513,36.549,2.7,0.04
19881124,249.5,18.372,-999,-999,-999
19881128,1998.6,3.868,-999,-999,-999
19881128,2197.3,3.585,34.986,18.96,-999
19881128,2396.4,3.324,34.969,18.83,-999
19881128,2598.8,3.123,34.955,19.14,1.09
19881128,2796.5,2.959,34.947,19.01,1.15
19881128,2997.6,2.772,-999,-999,-999
19881128,3200.4,2.567,34.928,18,1.16
19881128,3399.2,2.436,34.918,17.69,1.19
19881128,3600.9,2.345,34.913,18.76,1.14
19881128,3798,2.288,-999,19.34,1.16
19881128,4003,2.251,34.894,19.34,1.24
19881128,4003.1,2.252,-999,-999,-999
19881217,2005.8,3.83,34.997,18.52,1.12
19881217,2207.7,3.6,34.995,18.19,1.17
19881217,2409.1,3.37,34.977,18.84,1.14
19881217,2607.1,3.14,34.959,-999,-999
19881217,2803.2,2.97,-999,18.13,1.14
19881217,3008.1,2.76,34.936,17.86,-999
19881217,3207.8,2.58,34.928,17.74,1.19
19881217,3408,2.43,34.915,18.13,1.18
19881217,3607.8,2.33,-999,18.91,1.22
19881217,3808.7,2.26,34.904,18.84,1.24
19881217,4006,2.22,34.898,18.91,1.27
19881217,4210.6,2.22,34.896,19.03,1.34
19881219,3.2,21.46,36.535,0.06,0
19881219,17.2,21.47,36.533,0.05,0
19881219,34.2,21.47,36.553,0,0
19881219,60.7,21.47,36.54,0,0
19881219,84.4,21.43,36.532,0.05,0.04
19881219,108.2,20.07,36.643,0.19,0.03
