Vessel,Cruise_type,Cruise_num,Cast_type,Cast,Bottle_number,Date,ID,decy,Latitude,Longitude,Depth,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16_Chl,p17_Phae,p18,p19,p20,p21,yyyymmdd,time
R/V Weatherbird I,BATS Core,1,Hydrocast,81,12,1988-10-21,1000108112,1988.8033,31.833,-64.167,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.048,-999,-999,-999,-999,-999,19881021,455
R/V Weatherbird I,BATS Core,1,Hydrocast,81,11,1988-10-21,1000108111,1988.8033,31.833,-64.167,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.048,-999,-999,-999,-999,-999,19881021,455
R/V Weatherbird I,BATS Core,1,Hydrocast,81,10,1988-10-21,1000108110,1988.8033,31.833,-64.167,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.059,-999,-999,-999,-999,-999,19881021,455
R/V Weatherbird I,BATS Core,1,Hydrocast,81,9,1988-10-21,1000108109,1988.8033,31.833,-64.167,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.062,-999,-999,-999,-999,-999,19881021,455
R/V Weatherbird I,BATS Core,1,Hydrocast,81,8,1988-10-21,1000108108,1988.8033,31.833,-64.167,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.134,-999,-999,-999,-999,-999,19881021,455
R/V Weatherbird I,BATS Core,1,Hydrocast,81,7,1988-10-21,1000108107,1988.8033,31.833,-64.167,150,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.047,-999,-999,-999,-999,-999,19881021,455
R/V Weatherbird I,BATS Core,1,Hydrocast,81,6,1988-10-21,1000108106,1988.8033,31.833,-64.167,200,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.012,-999,-999,-999,-999,-999,19881021,455
R/V Weatherbird I,BATS Core,1,Hydrocast,81,5,1988-10-21,1000108105,1988.8033,31.833,-64.167,225,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.008,-999,-999,-999,-999,-999,19881021,455
R/V Weatherbird I,BATS Core,1,Hydrocast,81,4,1988-10-21,1000108104,1988.8033,31.833,-64.167,250,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.007,-999,-999,-999,-999,-999,19881021,455
R/V Weatherbird I,BATS Core,1,Hydrocast,81,3,1988-10-21,1000108103,1988.8033,31.833,-64.167,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.007,-999,-999,-999,-999,-999,19881021,455
R/V Weatherbird I,BATS Core,1,Hydrocast,81,2,1988-10-21,1000108102,1988.8033,31.833,-64.167,400,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.007,-999,-999,-999,-999,-999,19881021,455
R/V Weatherbird I,BATS Core,2,CTD cast,1,12,1988-11-23,1000200112,1988.89504,31.817,-64.183,3.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.084,-999,-999,-999,-999,-999,19881123,1400
R/V Weatherbird I,BATS Core,2,CTD cast,1,11,1988-11-23,1000200111,1988.89504,31.817,-64.183,10.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.043,-999,-999,-999,-999,-999,19881123,1400
