"DOY" "Depth" "Chl"
295 1 0.048
295 10 0.048
295 25 0.059
295 50 0.062
295 100 0.134
295 150 0.047
295 200 0.012
295 225 0.008
295 250 0.007
295 300 0.007
295 400 0.007
328 3.9 0.084
328 10.9 0.043
328 25.8 0.047
328 51.8 0.049
328 99.7 0.17
328 153.4 0.039
328 200.1 0.008
328 250.1 0.008
354 2.1 0.095
354 17.1 0.114
354 32.1 0.089
354 57.3 0.093
354 81.8 0.122
354 107 0.11
354 131.9 0.045
354 157.2 0.037
354 181.1 0.015
354 207 0.009
354 230.8 0.007
354 261 0.007
28 2.4 0.094
28 5.5 0.094
28 19.7 0.097
28 42.9 0.091
28 63.6 0.095
28 83.1 0.088
51 4.3 0.203
51 16.6 0.231
51 27.6 0.324
51 32.2 0.437
51 37.2 0.502
51 53.1 0.592
51 93 0.171
51 105.4 0.138
51 156.2 0.044
51 179.8 0.026
51 206.8 0.02
51 308.3 0.011
84 4.5 0.051
84 16 0.057
84 26.5 0.057
84 33 0.058
84 54.5 0.095
84 71.6 0.183
84 81.2 0.437
84 91.3 0.496
84 102.6 0.477
84 150.4 0.048
84 201.2 0.02
84 254.3 0.012
108 6.3 0.065
108 18.9 0.066
108 33.3 0.075
108 49.9 0.109
108 70.3 0.199
108 80.7 0.436
108 88.3 0.56
108 105.8 0.356
108 115 0.217
108 149.8 0.038
108 199.8 0.011
108 249.7 0.008
137 1.6 0.038
137 12.2 0.039
137 21.5 0.045
137 39.4 0.061
137 66.9 0.16
137 85.1 0.468
137 97.7 0.18
137 107.7 0.098
137 141.1 0.021
137 174.9 0.009
137 222.9 0.008
137 248.5 0.008
173 4.2 0.029
173 16.3 0.031
173 25.2 0.032
173 38.4 0.05
173 53.8 0.069
173 66.1 0.091
173 84.8 0.146
173 98.2 0.257
173 111.9 0.318
173 148.1 0.111
173 199.3 0.021
173 250.5 0.011
201 0.9 0.033
201 25 0.037
201 75.7 0.092
201 91.2 0.169
201 99.9 0.245
201 107.3 0.224
201 116.9 0.206
201 123.4 0.184
201 126 0.174
201 135.4 0.148
201 150.5 0.108
201 190.3 0.014
229 1 0.033
229 20 0.042
229 40 0.053
229 60 0.079
229 70 0.094
229 90 0.242
229 100 0.235
229 120 0.134
229 150 0.035
229 200 0.01
229 250 0.008
293 2.8 0.122
293 5.6 0.13
293 26.6 0.057
293 51.1 0.083
293 74.5 0.185
293 85.3 0.233
293 90.2 0.277
293 101.6 0.248
293 116.8 0.185
293 151.3 0.086
293 200.9 0.017
293 250.7 0.008
332 2.7 0.12
332 9.9 0.121
332 20.1 0.119
332 41.4 0.123
332 61.5 0.122
332 81.1 0.124
332 90.2 0.273
332 100.6 0.297
332 120.9 0.085
332 139.9 0.044
332 175.8 0.018
332 227 0.012
353 2.3 0.153
353 20.7 0.165
353 40.2 0.165
353 60.3 0.174
353 90 0.179
353 100.2 0.208
353 108.1 0.189
353 119.8 0.198
353 139.7 0.101
353 168.9 0.032
353 199.2 0.02
353 250.8 0.019
17 2.6 0.079
17 19.6 0.075
17 40.1 0.08
17 60.7 0.078
17 80.1 0.109
17 90.4 0.132
17 99.8 0.118
17 120.3 0.104
17 139.5 0.066
17 161.5 0.026
17 200 0.008
17 250.1 0.011
31 0.7 0.048
31 18.7 0.048
31 39.6 0.057
31 58 0.085
31 79 0.097
31 98.9 0.158
31 109.5 0.182
31 136.8 0.077
31 160.5 0.051
31 201.2 0.016
31 250 0.003
47 2 0.095
47 21 0.1
47 41 0.115
47 61 0.129
47 82 0.127
47 102 0.136
47 122 0.136
47 132 0.126
47 142 0.112
47 162 0.09
47 202 0.019
47 222 0.005
53 1 0.118
53 20 0.116
53 41.2 0.13
53 61.8 0.117
53 72.1 0.124
53 82.4 0.127
53 103 0.141
53 123.6 0.133
53 144.2 0.137
53 164.8 0.061
53 206 0.023
53 257.5 0.011
60 1.7 0.113
60 20.4 0.113
60 40.9 0.126
60 59.9 0.126
60 80.5 0.13
60 90.5 0.131
60 100.4 0.131
60 120.9 0.137
60 142 0.114
60 161.3 0.039
60 201.6 0.02
60 252.7 0.006
72 2 0.104
72 10 0.103
72 30.2 0.116
72 49.1 0.186
72 59.3 0.164
72 65.4 0.211
72 72 0.232
72 80.7 0.242
72 99.9 0.212
72 121.7 0.057
72 201.2 0.013
72 250.4 0.011
92 0.6 0.081
92 18.5 0.128
92 38.6 0.162
92 40 0.22
92 59.2 0.467
92 80.9 0.352
92 89.2 0.284
92 100.5 0.173
92 120.9 0.068
92 158.9 0.036
92 200.2 0.016
92 248.4 0.017
108 1.7 0.085
108 11.3 0.095
108 20.5 0.086
108 27.3 0.112
108 49.5 0.205
108 70.4 0.34
108 79.6 0.218
108 90.3 0.026
108 101 0.052
108 151.7 0.035
108 182.2 0.044
108 252.2 0.005
129 1.6 0.033
129 19.7 0.033
129 39.8 0.041
129 58.3 0.077
129 79.5 0.12
129 102.6 0.158
129 111.7 0.17
129 141.5 0.057
129 162 0.009
129 180.9 0.003
129 200.6 0.001
173 1.3 0.024
173 10.5 0.03
173 19.9 0.024
173 40.2 0.043
173 59.8 0.085
173 79.6 0.109
173 100.4 0.216
173 108.9 0.146
173 141.1 0.055
173 160.1 0.016
173 199.6 0.002
173 251 0.001
199 3.2 0.024
199 11.3 0.034
199 41.4 0.093
199 60.5 0.058
199 80.9 0.054
199 101.2 0.132
199 121.7 0.054
199 140.2 0.049
199 160.1 0.009
199 190.2 0.001
199 251.4 0.001
226 1.7 0.02
226 9.8 0.035
226 21.6 0.019
226 38.9 0.028
226 59.2 0.041
226 69.6 0.051
226 91 0.082
226 104.4 0.115
226 117.5 0.162
226 150.5 0.038
226 198 0.012
254 2.9 0.021
254 9.5 0.024
254 19.3 0.024
254 39.9 0.042
254 60.1 0.062
254 85.4 0.093
254 110.6 0.116
254 112.7 0.1
254 122.3 0.082
254 143.1 0.024
254 199.6 0.004
254 251 0.001
288 2.3 0.04
288 9.4 0.038
