"DOY" "Depth" "POP"
290 3.9 0.01
290 19.2 0.013
290 38.6 0.01
290 60.7 0.012
290 80.4 0.014
290 99.3 0.014
290 118.4 0.01
290 148.8 0.006
290 201.2 0.005
290 303.3 0.004
290 397.5 0.004
290 4.5 0.009
290 20.5 0.01
290 40.3 0.011
290 58.5 0.013
290 79 0.012
290 99.6 0.01
290 120 0.008
290 150.2 0.005
290 199.5 0.005
290 280.1 0.004
290 400.5 0.003
290 4 0.008
290 20 0.007
290 39.9 0.009
290 58.4 0.019
290 79.2 0.012
290 100.7 0.01
290 117.9 0.009
290 150 0.006
290 199.2 0.005
290 299.7 0.004
290 399.7 0.002
291 4.3 0.008
291 20 0.009
291 39 0.009
291 61.5 0.013
291 80 0.011
291 101.6 0.012
291 121.3 0.006
291 151.5 0.005
291 202 0.004
291 281.5 0.004
291 401.4 0.004
291 4.9 0.008
291 20.1 0.008
291 39.3 0.008
291 59.8 0.008
291 80.4 0.01
291 99.7 0.011
291 118.8 0.01
291 148.2 0.007
291 198.6 0.005
291 300.3 0.004
291 398.4 0.003
291 499.3 0.003
291 4 0.009
291 20.7 0.008
291 39.8 0.009
291 60.1 0.01
291 80.3 0.012
291 100.5 0.011
291 119.8 0.008
291 150.8 0.006
291 280.5 0.005
291 401.1 0.004
291 498.5 0.003
292 4.9 0.009
292 19.6 0.008
292 39.3 0.008
292 59.5 0.011
292 79.6 0.012
292 99.8 0.01
292 120.9 0.009
292 149.1 0.006
292 199.7 0.006
292 149.3 0.007
292 200.3 0.006
292 249.8 0.005
292 400.8 0.004
292 4.3 0.009
292 19.1 0.011
292 39.1 0.012
292 59.3 0.01
292 79.2 0.013
292 99.3 0.012
292 119.4 0.01
292 149.5 0.005
292 199.7 0.008
292 280 0.003
292 399.1 0.005
293 4.9 0.011
293 19.8 0.009
293 40.6 0.01
293 60.4 0.008
293 80.1 0.008
293 100.4 0.009
293 119.6 0.01
293 150.1 0.006
293 200.4 0.005
293 300 0.004
293 399.7 0.003
293 4.8 0.006
293 20 0.008
293 39.3 0.009
293 58.9 0.009
293 79.2 0.007
293 100 0.01
293 119.9 0.008
293 150.1 0.007
293 199.9 0.003
293 299.9 0.002
293 399.8 0.002
293 4.2 0.012
293 20.7 0.009
293 40.5 0.009
293 59.9 0.009
293 80.5 0.011
293 99.8 0.011
293 119.2 0.011
293 150.2 0.007
293 200.4 0.004
293 339.5 0.002
293 400.7 0.002
293 499.5 0.002
294 4.3 0.012
294 20.1 0.011
294 59.3 0.013
294 79 0.013
294 120.4 0.008
294 150.6 0.006
294 200.2 0.004
294 299 0.003
294 401.3 0.002
299 2.6 0.008
299 19.2 0.007
299 40 0.009
299 59.9 0.013
299 80.1 0.011
299 101.2 0.01
299 120.3 0.008
299 149.6 0.004
299 197.6 0.003
299 299.3 0.004
300 3.9 0.007
300 19.3 0.007
300 40 0.016
300 60.6 0.011
300 80.7 0.011
300 100.4 0.009
300 120.5 0.007
300 150.4 0.005
300 201.4 0.004
300 299.4 0.005
301 3.2 0.007
301 20.2 0.004
301 41.4 0.006
301 59.7 0.008
301 80.3 0.008
301 100.9 0.008
301 120.8 0.009
301 149.6 0.005
301 199.9 0.002
301 248.7 0.003
301 300.8 0.002
302 2.9 0.008
302 20.8 0.009
302 39.7 0.01
302 60.3 0.012
302 80.4 0.012
302 99.5 0.01
302 119.2 0.008
302 150.9 0.006
302 200.2 0.003
302 249.9 0.002
302 298.7 0.003
304 2.9 0.01
304 19.5 0.016
304 40.2 0.007
304 60.3 0.013
304 77.6 0.008
304 100.5 0.008
304 119.8 0.008
304 150.5 0.005
304 200.4 0.003
304 299 0.002
289 4.4 0.009
289 19.1 0.008
289 40.6 0.009
289 60.6 0.012
289 83.9 0.008
289 100.3 0.006
289 121.4 0.005
289 201 0.003
289 300.3 0.002
290 3.3 0.008
290 20.3 0.008
290 40.4 0.008
290 61.1 0.012
290 81 0.012
290 100.1 0.009
290 119.7 0.007
290 139.4 0.005
290 201.5 0.003
290 302.3 0.004
291 3.5 0.006
291 20.1 0.006
291 40.7 0.006
291 59.6 0.011
291 76.8 0.01
291 100.1 0.006
291 120.5 0.006
291 140.1 0.005
291 198.7 0.002
291 301.1 0.002
291 3.4 0.007
291 19.9 0.006
291 41.1 0.007
291 61.6 0.01
291 80.7 0.011
291 98 0.009
291 119.3 0.008
291 139.1 0.005
291 300.4 0.002
291 2.1 0.007
291 21.1 0.007
291 40.7 0.006
291 60.6 0.008
291 81.1 0.009
291 100.3 0.007
291 121.2 0.006
291 141.4 0.005
291 199.2 0.003
292 2.7 0.005
292 19.3 0.005
292 40.1 0.006
292 59.9 0.009
292 80 0.009
292 99.4 0.008
292 119.9 0.008
292 139.7 0.005
292 199.5 0.003
292 300 0.002
292 3 0.006
292 20.1 0.006
292 40.8 0.006
292 60.5 0.006
292 81.3 0.009
292 99.9 0.009
292 120.1 0.006
292 139.8 0.008
292 200.5 0.003
292 302.4 0.002
293 3.6 0.005
293 18.6 0.004
293 39.8 0.007
293 58.4 0.008
293 80.4 0.009
293 111 0.009
293 121.2 0.01
293 138.1 0.006
293 199.1 0.004
293 299.9 0.003
294 4 0.008
294 18.2 0.007
294 39.1 0.008
294 60.3 0.01
294 78.8 0.007
294 99.2 0.002
294 118.2 0.008
294 139.3 0.009
294 200.5 0.003
294 300.2 0.002
294 3.1 0.013
294 20.4 0.013
294 40.3 0.008
294 60.5 0.01
294 79.3 0.011
294 98.8 0.01
294 120.2 0.007
294 141 0.007
294 200.8 0.004
294 299.4 0.004
