"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-1487.5 4.43933085600535 4.43032036887275 4.45807662275102 4.47868586911095 4.46407482359144 4.39916161696116 4.41087810198466 4.39180007245806 4.40282515684764 4.43186012903849 4.37465846538544 4.41867329014672
-1450 4.55392942163679 4.54706120491028 4.54875816239251 4.58515842755635 4.57829479376475 4.50517382886675 4.51520130369398 4.48466230763329 4.52578846613566 4.52668333053589 4.51069006654951 4.53279834323459
-1400 4.69130865732829 4.68543928199344 4.6737279759513 4.69598029719459 4.6905234919654 4.62471004327138 4.63960993289948 4.63583351506127 4.65965394179026 4.67613348695967 4.64280166890886 4.68502933449215
-1350 4.82609566052755 4.82559037208557 4.81773020161523 4.83800563547346 4.82827109760708 4.78909754753113 4.7645565006468 4.80209414164225 4.78992670112186 4.82625382476383 4.7986169523663 4.82073574595981
-1300 4.97170938385857 4.98874753051334 4.96492947472466 5.01182315084669 5.0146295759413 4.95774618784586 4.92639258172777 4.98197484016418 4.92198366589016 4.97819279299842 4.94430180390676 4.95143030749427
-1250 5.13994740115272 5.15800021754371 5.1381317642 5.20297627978855 5.24260942141215 5.12884402275085 5.10620992713504 5.16558612717522 5.12341435750326 5.14974596765306 5.08163437578413 5.13286968072255
-1200 5.37522101402283 5.39237035645379 5.37036348713769 5.49338477187686 5.41296264860365 5.36089342170291 5.34400804837545 5.39807620313432 5.35037650002374 5.39367955260806 5.32083770963881 5.37471685144636
-1150 5.66015656789144 5.62501233153873 5.68341920110914 5.75145863162147 5.67684286170536 5.60966263877021 5.61852408779992 5.65325715806749 5.52674625979529 5.64527931478288 5.5713320573171 5.63918991883596
-1100 6.02746543619368 5.91860788398319 6.03110696209802 6.10145983431074 5.98262480894725 5.93897057904138 5.96313737498389 5.99109182092879 5.76296934816572 5.96843028068542 5.88571405410767 5.92385685443878
-1050 6.42838293976254 6.30130982398987 6.46371400356293 6.52610295348697 6.41846243540446 6.37080423037211 6.39063735802968 6.38841761483087 6.15283033582899 6.40512373712328 6.27071645524767 6.25860652658675
-1000 6.9363071653578 6.81544163491991 6.98104336526659 7.03907627529568 6.95525569385952 6.90613789028592 6.92939043045044 6.87066837151845 6.63154901398553 6.96532947487301 6.75015174018012 6.78642519315084
-950 7.58524876170688 7.56831245952183 7.66028633382586 7.76509971088833 7.71654821766748 7.60393348005083 7.55516685379876 7.4551668299569 7.29097110695309 7.66638463073307 7.48068169752757 7.45048989189996
-900 8.46842241287231 8.38263848092821 8.49448482195536 8.61885984738668 8.56827720006307 8.50057962205675 8.38141735394796 8.40628419982063 7.99670807520549 8.49928622775608 8.25436528523763 8.37316248151991
-850 9.35143041610718 9.32442363103231 9.60813437567817 9.50612984763251 9.64691458808051 9.52760513623556 9.46821260452271 9.31961790720622 9.09377299414741 9.36325716972351 9.25476829210917 9.37519560919868
-800 10.4595755206214 10.5570950773027 10.6998336844974 10.647232664956 10.6934916178385 10.633864429262 10.5507266256544 10.3336232768165 10.2201824982961 10.3909776740604 10.2473944558038 10.5042606989543
-750 11.5426808728112 11.610536230935 11.8857030338711 11.77103916804 11.9673421647814 11.9849289523231 11.8247952461243 11.6182376543681 11.4457403553857 11.6966638829973 11.5633704397413 11.6739614009857
-700 12.7884364922841 12.7365787559085 12.9750888082716 12.8250807126363 13.1011012660133 13.0254265997145 12.7246595223745 12.7098124557071 12.6318469047546 12.8079909748501 12.6439686616262 12.7941640483008
-650 13.839829047521 13.7901871204376 14.0510385036469 13.9380402565002 14.1730655299293 14.0849582884047 13.9415549172295 13.8414374457465 13.7718613412645 13.8896470599704 13.8295066091749 13.8866797288259
-600 14.8619207541148 14.8768734931946 15.0597973134783 14.938286251492 15.1739037036896 15.0890729957157 14.8777339193556 14.7799442874061 14.750926733017 14.9314030541314 14.8267412450578 14.9036999013689
-550 15.7511274019877 15.7498321003384 15.9446552329593 15.8187976943122 16.0029760996501 15.8712864187029 15.8370347552829 15.7215827306112 15.6733556058672 15.8769137064616 15.717472102907 15.7848931418525
-506.25 16.441769335005 16.6040173636542 16.6915143860711 16.6107322904799 16.6758485900031 16.6329792340597 16.6422440740797 16.5058595869276 16.4512030813429 16.6515510347154 16.5184730423821 16.6228627098931
-475 16.808850341373 16.8972098562453 16.9372968143887 16.8656098577711 17.0906030337016 16.910001013014 16.8704490661621 16.8407218721178 16.7276298205058 16.9140186839634 16.8863206969367 16.843211279975
-450 17.1098926332262 17.2018683221605 17.1918028195699 17.1095471382141 17.2308235698276 17.1433964835273 17.1145931879679 17.1347147093879 17.0598176850213 17.1681131256951 17.073580371009 17.0784211688572
-425 17.3185942437914 17.4069389237298 17.3813254038493 17.3124554422167 17.4058486090766 17.3549309306675 17.3303457895915 17.3590360747443 17.2809448242188 17.3762974209256 17.2628264427185 17.2987794876099
-400 17.5051940282186 17.5686621136136 17.5488995975918 17.486917813619 17.5642497274611 17.5337000952827 17.5221763716804 17.5237696435716 17.4533234702216 17.5274527337816 17.4271590444777 17.4872181150648
-375 17.6554724375407 17.7186317443848 17.6933199564616 17.642191251119 17.6927472220527 17.6750770144992 17.662812338935 17.6871711942885 17.6448060141669 17.6646312607659 17.5726895862156 17.6466713481479
-350 17.7978312174479 17.8379033406576 17.8239286210802 17.77099609375 17.7994554307726 17.8065354559157 17.7937873734368 17.8153759638468 17.7712062199911 17.7839200761583 17.7108683056302 17.7855582237244
-325 17.9173320134481 17.9488025241428 17.9443153275384 17.8945180575053 17.9004673428006 17.9261220296224 17.9019840028551 17.9532131618924 17.8841976589627 17.8954281277127 17.8352722591824 17.9016429583232
-300 18.039760377672 18.0584695604112 18.0577903323703 18.0039233101739 18.0032084253099 18.0344740019904 18.0331957075331 18.0483015378316 17.9891141785516 18.0175419383579 17.9440675841437 18.0164098209805
-275 18.1605855094062 18.1853215959337 18.1851450602214 18.1264216634962 18.0977617899577 18.1377913157145 18.1384763717651 18.1353868378533 18.0806196000841 18.1252253850301 18.0648543039958 18.1376247406006
-250 18.2866893874274 18.3281178474426 18.3194656901889 18.2530521816678 18.2237624592251 18.226497385237 18.2524237632751 18.2599086761475 18.1897740893894 18.232050842709 18.2122874259949 18.2635701497396
-225 18.4594593048096 18.4790320926242 18.5227165222168 18.3902333577474 18.316755188836 18.3417381180657 18.3392372131348 18.3011978997125 18.3101431528727 18.3666976822747 18.3541923099094 18.4329712655809
-200 18.6604103512234 18.6808536847432 18.6574221187168 18.5234093136258 18.4274459944831 18.4661698871189 18.4709933598836 18.4257462819417 18.466585583157 18.5278569857279 18.5299287901984 18.6303267478943
-175 18.9797894159953 18.9025106959873 18.8192540274726 18.6424969567193 18.5530871815152 18.5857164594862 18.5965690082974 18.5889516936408 18.6704887813992 18.7267162005107 18.7583987447951 18.8380241394043
-150 19.4424185752869 19.1906200514899 18.9923985799154 18.7752176390754 18.6883274184333 18.7605589230855 18.8012317551507 18.8037630187141 18.9131376478407 19.0263333850437 19.0605623457167 19.1690231959025
-125 19.9652070469326 19.3339106241862 19.0765472518073 18.8887659708659 18.8737454944187 19.0263362460666 19.1380287806193 19.1004087660048 19.3140329784817 19.4836804072062 19.5972877608405 19.8767377005683
-105 20.4293254216512 19.4715453253852 19.2376910845439 19.0232264730665 19.1026706695557 19.3303512997097 19.6091992060343 19.6386937565274 19.9820584721035 20.3197543885973 20.7627365854051 21.0438487264845
-95 20.4465425809224 19.4844788445367 19.2389461729262 19.0527296596103 19.1477976375156 19.4016235139635 19.7337686750624 19.7909828291999 20.1807154019674 20.5468000835843 20.9135783513387 21.3023916350471
-90 20.4665955437554 19.4999045795865 19.2597232924567 19.0855683750576 19.216518190172 19.4968271785312 19.869760884179 19.9606599807739 20.4325422710843 20.8066654205322 21.2821805212233 21.5518457624647
-85 20.4822994867961 19.503660413954 19.2779258622064 19.1203586260478 19.2908743752374 19.6050074365404 20.0263048277961 20.1508128378126 20.6868233150906 21.1049924426609 21.6920117272271 21.7587193383111
-80 20.4958002302382 19.515720155504 19.2966024080912 19.1573730044895 19.3665360344781 19.729014078776 20.2059688038296 20.3821181721158 21.0075696309408 21.4494045045641 22.0540763537089 21.9203204578823
-75 20.5109533733792 19.5346608161926 19.3057573636373 19.2081373002794 19.4487307866414 19.8606907526652 20.4173989825778 20.6500292883979 21.3291094038222 21.8474317126804 22.4319236013624 22.0151351822747
-70 20.5254418055216 19.5393302705553 19.3253027068244 19.2480520672268 19.5377708011203 19.9909579488966 20.6320599450005 20.9423672358195 21.7027258343167 22.2954132292006 22.7989109887017 22.0555913713243
-65 20.5274185604519 19.5489243931241 19.3467759026421 19.2897403505113 19.6405594613817 20.1489603784349 20.8468952708774 21.2734567324321 22.131957742903 22.8076856401232 23.1095918019613 22.0906991958618
-60 20.5368959108988 19.5506999227736 19.3661273850335 19.3362215360006 19.7532441880968 20.3834437794156 21.1213808059692 21.6577899191115 22.6513971222772 23.4121957884895 23.2933478885227 22.1258103052775
-55 20.5540449354384 19.5687541431851 19.3864809672038 19.3846144676208 19.8539294136895 20.5989730093214 21.4349297947354 22.0964713626438 23.2090929349263 24.031997150845 23.426681359609 22.1517185105218
-50 20.5567263497247 19.5728997654385 19.4133869806925 19.40397172504 20.0114392174615 20.8358176549276 21.8053824106852 22.5784908930461 23.8272558318244 24.6059418784248 23.4915975464715 22.1654269430372
-45 20.5637877782186 19.582927385966 19.4405837059021 19.477727678087 20.1871671146817 21.0340798695882 22.2526259952121 23.203205426534 24.5262553956774 25.1364844110277 23.5333783891466 22.1896265347799
-40 20.5722466574775 19.6120106379191 19.4515408409966 19.527157412635 20.3616809844971 21.3502894507514 22.8189664946662 23.9361863666111 25.3699337111579 25.4748798476325 23.5459408760071 22.1945088704427
-35 20.574895646837 19.6320549117194 19.4696967866686 19.5680027008057 20.5373754501343 21.7425654199388 23.4348966810438 24.8624427583482 26.0867626931932 25.6474686728583 23.5504683918423 22.2038423750136
-30 20.5784095658196 19.6387928326925 19.485236591763 19.6242353651259 20.7014843093024 22.1835239198473 24.0872912406921 25.8221436606513 26.6399145656162 25.7405147022671 23.5560148557027 22.2051953209771
-25 20.5958724551731 19.6684943834941 19.5206910769145 19.6908290651109 20.9120775858561 22.721206718021 24.919114695655 26.7330985599094 26.9496941036648 25.7938417858548 23.5776632626851 22.2383065753513
-20 20.5967404047648 19.67628426022 19.5399765968323 19.7543666097853 21.0736031002468 23.2174662484063 25.7419043646918 27.2728238635593 27.0562986267938 25.8127361403571 23.5883900854323 22.2411190668742
-15 20.6106396781074 19.7033422258165 19.5840774642097 19.8260750770569 21.2405572997199 23.6675718095567 26.2920236587524 27.4929174847073 27.1391402350532 25.8309858110216 23.6064433521695 22.2563349405924
-10 20.617777718438 19.7154714266459 19.6014266543918 19.8742292722066 21.3709628317091 23.9868760108948 26.670206228892 27.6210323969523 27.203664832645 25.8464766078525 23.6025231149461 22.2691837946574
-5 20.6263336605496 19.7342489030626 19.6144707467821 19.8886959287855 21.4883370399475 24.2001707288954 26.7851371235318 27.7173606024848 27.2426315413581 25.8232827716404 23.5923006269667 22.2752840254042
-1.25 20.6250948376126 19.7318807707892 19.6120552486844 19.9229541884528 21.5271261533101 24.291592862871 26.8530988693237 27.7556352615356 27.237144364251 25.8144144482083 23.5993470615811 22.2828195889791
